"year","month","day","rad","tx","tn","p"
1996,1,1,1.59,-4.81,-6.816,0
1996,1,2,1.52,-2.587,-5.292,0
1996,1,3,2.23,-2.912,-6.346,0
1996,1,4,1.66,-4.945,-8.273,0
1996,1,5,2.85,-5.348,-9.55,0
1996,1,6,2.06,-2.887,-5.571,0
1996,1,7,0.71,2.458,-4.808,2.04393565644523
1996,1,8,2.4,3.413,0.967,0
1996,1,9,1.22,4.482,0.846,1.38186812400676
1996,1,10,1.04,1.825,-0.322,4.80803847312927
1996,1,11,1.08,2.386,-0.265,0
1996,1,12,2.06,5.118,0.373,0
1996,1,13,2.91,6.097,1.684,0
1996,1,14,2.1,2.55,-0.467,0
1996,1,15,1.39,0.269,-1.018,0
1996,1,16,1.22,1.317,-1.094,0
1996,1,17,1.03,0.834,-0.823,0
1996,1,18,1.29,-0.047,-1.741,0
1996,1,19,1.17,0.64,-1.964,0
1996,1,20,2.93,-0.067,-2.512,0
1996,1,21,3.06,-2.072,-4.336,0
1996,1,22,3.48,-2.416,-4.771,0
1996,1,23,3.56,-4.146,-6.345,0
1996,1,24,3.26,-3.183,-5.693,0
1996,1,25,2.6,-2.833,-5.678,0
1996,1,26,2.5,-2.224,-5.347,1.19169950482956
1996,1,27,3.45,-1.557,-3.939,0
1996,1,28,4.5,-1.408,-5.136,0
1996,1,29,4.02,-0.24,-5.404,0
1996,1,30,4.55,-0.166,-3.774,0
1996,1,31,3.57,-0.886,-3.975,0
1996,2,1,5.14,-0.897,-6.753,0
1996,2,2,3.98,-0.823,-7.33,1.09242498865569
1996,2,3,3.25,-0.029,-5.335,1.61838531403191
1996,2,4,4.4,2.569,-6.542,0
1996,2,5,5.37,-2.119,-7.61,0
1996,2,6,6.25,-3.866,-9.965,0
1996,2,7,6.4,-4.843,-9.515,0
1996,2,8,4.82,-5.023,-9.464,0
1996,2,9,6.53,-5.932,-11.794,0
1996,2,10,2.89,-5.228,-8.679,0
1996,2,11,2.5,1.38,-4.938,4.65615093708038
1996,2,12,2.52,3.431,0.561,3.2629668712616
1996,2,13,2.71,0.937,-0.265,3.34053039540549
1996,2,14,3.49,-0.333,-5.86,0
1996,2,15,2.99,4.461,-6.068,2.92608141899109
1996,2,16,0.85,5.155,2.745,4.13229167457985
1996,2,17,5.81,4.489,-0.627,4.32420074937312
1996,2,18,1.52,2.081,-0.713,12.3166590929031
1996,2,19,3.25,-0.277,-4.993,2.62679457659942
1996,2,20,7.62,-4.21,-6.436,0
1996,2,21,7.72,-4.398,-7.957,0
1996,2,22,8.02,-2.329,-9.703,0
1996,2,23,7.02,-0.189,-7.59,0
1996,2,24,6.86,0.218,-5.736,0
1996,2,25,2.62,5.003,0.378,3.09652319867837
1996,2,26,2.62,4.96,0.535,4.75806891917685
1996,2,27,6.38,3.648,-2.815,0
1996,2,28,6.28,2.175,-3.705,0
1996,2,29,5.83,3.542,-2.939,0
1996,3,1,10.66,3.989,-1.489,0
1996,3,2,10.53,4.441,-3.41,0
1996,3,3,8.4,1.647,-5.398,0
1996,3,4,3.06,0.701,-2.625,1.10099017609855
1996,3,5,8.69,2.699,-2.93,0
1996,3,6,3.72,4.071,-0.023,0
1996,3,7,7.49,4.262,-0.89,0
1996,3,8,12.1,2.76,-2.327,0
1996,3,9,12.02,2.66,-3.049,0
1996,3,10,12.53,3.118,-3.602,0
1996,3,11,11.27,1.134,-3.636,0
1996,3,12,9.22,0.471,-4.279,0
1996,3,13,6.4,0.842,-4.051,0
1996,3,14,7.09,2.276,-2.597,0
1996,3,15,8.03,3.068,-1.359,0
1996,3,16,7.06,3.537,-0.76,0
1996,3,17,4.74,2.844,0.022,0
1996,3,18,5.44,2.166,-0.341,0
1996,3,19,9.01,5.199,-1.353,0
1996,3,20,9.49,7.733,-1.514,0
1996,3,21,15.05,4.44,-2.01,0
1996,3,22,12.26,7.108,-1.204,0
1996,3,23,6.41,7.372,2.127,3.85402739050278
1996,3,24,7.84,5.94,0.132,0
1996,3,25,14.06,7.52,-1.784,0
1996,3,26,9.87,3.948,-1.494,0
1996,3,27,14.11,3.87,-2.287,0
1996,3,28,7.38,3.626,0.484,2.84487009048462
1996,3,29,11.8,5.425,-0.524,1.27086937425247
1996,3,30,12.26,3.458,-1.379,1.15111470222473
1996,3,31,15.9,3.759,-2.781,0
1996,4,1,14,3.316,-3.81,0
1996,4,2,12.85,4.171,-3.935,0
1996,4,3,18.04,6.563,-4.315,0
1996,4,4,18.95,8.394,-2.255,0
1996,4,5,18.66,8.626,-1.982,0
1996,4,6,11.08,11.537,2.987,0
1996,4,7,15.29,13.438,0.405,0
1996,4,8,16.44,8.961,0.27,0
1996,4,9,16.31,10.344,1.702,0
1996,4,10,6.17,9.737,4.182,2.79115321961854
1996,4,11,9.18,5.775,-1.252,0
1996,4,12,13.04,4.016,-2.312,0
1996,4,13,13.45,7.743,-0.94,0
1996,4,14,19.93,10.457,-2.636,0
1996,4,15,21.03,9.838,-2.224,0
1996,4,16,19.2,14.132,-0.567,0
1996,4,17,22.02,16.073,4.18,0
1996,4,18,19.96,14.017,3.88,0
1996,4,19,16.34,15.149,6.536,0
1996,4,20,19.53,20.212,7.577,0
1996,4,21,20.83,20.637,10.42,0
1996,4,22,21.9,22.765,9.667,0
1996,4,23,16.49,20.227,10.244,0
1996,4,24,19.24,12.71,6.461,0
1996,4,25,17.87,11.165,5.507,0
1996,4,26,12.59,11.776,4.176,1.15341246123535
1996,4,27,10.21,14.137,4.306,0
1996,4,28,22.27,12.028,4.642,0
1996,4,29,15.67,7.624,2.815,0
1996,4,30,18.8,11.318,0.269,0
1996,5,1,23.62,14.472,3.469,0
1996,5,2,13.79,13.247,4.978,2.54777073854484
1996,5,3,11.67,11.505,6.534,0
1996,5,4,15.09,8.812,5.041,0
1996,5,5,19.89,7.79,4.281,1.76849854824468
1996,5,6,21.41,10.011,2.804,0
1996,5,7,25.86,10.724,0.445,0
1996,5,8,25.15,12.833,0.122,0
1996,5,9,20.97,12.81,3.737,0
1996,5,10,5.08,7.959,5.385,3.06529541671807
1996,5,11,7.7,10.705,5.661,0
1996,5,12,10.51,14.266,7.7,0
1996,5,13,18.38,14.66,7.197,0
1996,5,14,21.3,14.147,6.572,0
1996,5,15,15.03,9.271,5.607,0
1996,5,16,15.84,9.55,4.676,0
1996,5,17,5.51,12.163,4.79,4.74654138090003
1996,5,18,16.62,15.13,7.828,10.9779924154267
1996,5,19,9.28,16.15,9.32,10.586553812022
1996,5,20,15.66,12.092,5.762,7.2210431098938
1996,5,21,24.63,13.042,5.382,0
1996,5,22,23.11,13.52,4.127,0
1996,5,23,8.48,12.306,8.005,2.59222670388226
1996,5,24,7.71,13.913,8.825,6.92907869815329
1996,5,25,20.71,14.207,8.483,2.26989686478873
1996,5,26,21.07,13.285,7.784,1.07223120363642
1996,5,27,5.66,12.02,6.64,5.44220507134696
1996,5,28,21.06,9.715,6.539,0
1996,5,29,3.1,12.152,7.235,2.06949710843674
1996,5,30,7.06,18.042,10.198,0
1996,5,31,26.47,20.922,8.253,0
1996,6,1,14.36,14.669,8.136,0
1996,6,2,18.16,16.059,6.621,0
1996,6,3,17.36,15.828,9.444,0
1996,6,4,23.34,15.95,8.477,0
1996,6,5,25.98,21.794,6.072,0
1996,6,6,27.39,24.943,13.878,0
1996,6,7,25.83,28.142,12.286,0
1996,6,8,24.91,27.427,16.483,0
1996,6,9,18.65,21.336,12.72,0
1996,6,10,27.57,20.227,11.984,0
1996,6,11,21.54,22.882,13.683,1.70007944097961
1996,6,12,20.42,16.064,10.515,0
1996,6,13,23.54,14.039,10.521,0
1996,6,14,27.01,14.557,9.013,0
1996,6,15,26.84,15.945,7.97,0
1996,6,16,16.43,15.795,9.978,0
1996,6,17,19.54,17.166,9.297,0
1996,6,18,15.59,13.677,9.431,1.89918279636458
1996,6,19,12.73,12.554,9.701,0
1996,6,20,17.9,12.484,8.963,0
1996,6,21,18.74,13.762,8.231,1.52026414860984
1996,6,22,12.94,13.689,9.865,0
1996,6,23,14.06,12.939,9.839,0
1996,6,24,20.93,15.717,10.405,0
1996,6,25,16.65,15.012,10.465,0
1996,6,26,18.08,15.357,10.678,0
1996,6,27,19.25,14.438,10.554,0
1996,6,28,21.26,16.989,10.143,3.66432070728706
1996,6,29,6.31,15.011,11.636,5.95471969171513
1996,6,30,7.24,13.454,10.697,0
1996,7,1,17.89,15.466,10.096,2.21273689834334
1996,7,2,22.36,14.297,10.056,2.22840699512972
1996,7,3,16.8,17.461,10.62,3.10121476650238
1996,7,4,13.11,17.484,13.996,10.8401236614668
1996,7,5,17.05,16.831,11.311,1.10035538671127
1996,7,6,22.68,15.665,10.246,0
1996,7,7,21.81,16.219,9.913,1.83578133572837
1996,7,8,21.5,15.684,8.158,0
1996,7,9,17.52,13.98,11.587,0
1996,7,10,20.09,15.367,10.772,0
1996,7,11,12.52,18.886,13.402,0
1996,7,12,20.6,17.727,11.647,0
1996,7,13,10.8,18.901,11.413,0
1996,7,14,19.59,18.061,11.769,0
1996,7,15,17.42,15.428,11.127,0
1996,7,16,26.71,17.229,11.278,0
1996,7,17,13.74,14.869,10.623,0
1996,7,18,20.19,19.254,11.469,0
1996,7,19,21.18,19.385,8.268,0
1996,7,20,25.24,20.767,8.093,0
1996,7,21,24.39,22.33,9.175,0
1996,7,22,26.36,25.015,11.758,0
1996,7,23,22.76,26.28,15.161,2.15762853622437
1996,7,24,15.42,19.39,15.227,6.40685558317955
1996,7,25,20.91,22.436,13.135,1.59247855418698
1996,7,26,16.8,18.668,12.874,0
1996,7,27,8.98,17.197,12.547,4.05460596073226
1996,7,28,15.71,16.654,11.459,0
1996,7,29,8.81,19.886,10.762,0
1996,7,30,16.02,17.925,13.247,0
1996,7,31,11.46,18.846,13.187,1.11089646816254
1996,8,1,12.9,19.629,13.111,1.57861411571503
1996,8,2,20.02,18.017,12.641,1.24774277202278
1996,8,3,17.93,17.834,11.655,0
1996,8,4,15.81,18.577,10.438,0
1996,8,5,23.61,21.851,9.592,0
1996,8,6,21.1,22.173,13.325,0
1996,8,7,8.75,18.752,13.552,7.83863961686393
1996,8,8,17.43,20.097,11.956,0
1996,8,9,18.18,24.376,14.061,0
1996,8,10,17.89,25.034,17.685,0
1996,8,11,12.18,23.261,17.234,7.71927833557129
1996,8,12,15.16,21.795,16.636,3.54602336883403
1996,8,13,21.03,22.687,16.942,0
1996,8,14,17.07,21.704,14.407,1.03280083444091
1996,8,15,17.26,22.789,14.479,0
1996,8,16,20.14,22.73,14.767,0
1996,8,17,17.44,21.794,13.505,0
1996,8,18,16.33,24.149,12.732,0
1996,8,19,21.37,26.847,15.687,0
1996,8,20,21.43,28.665,17.363,0
1996,8,21,19.04,28.35,17.635,0
1996,8,22,18.83,27.43,16.816,0
1996,8,23,16.21,27.167,15.452,3.39837670316001
1996,8,24,13.48,22.306,16.369,1.78297456818655
1996,8,25,15.07,20.126,14.939,0
1996,8,26,16.56,20.492,12.993,0
1996,8,27,17.87,22.394,10.293,0
1996,8,28,8.1,21.129,14.741,24.0048485470652
1996,8,29,11.49,19,13.332,0
1996,8,30,6.07,15.658,13.36,7.25410804151849
1996,8,31,12.37,16.152,13.135,2.55599617958069
1996,9,1,11.91,16.248,11.564,0
1996,9,2,9.64,17.117,10.901,0
1996,9,3,12.36,18.463,8.807,0
1996,9,4,12.61,19.087,12.981,0
1996,9,5,16.57,18.83,10.657,0
1996,9,6,10.76,15.238,9.329,0
1996,9,7,13.29,16.135,8.823,0
1996,9,8,15.91,17.482,9.588,0
1996,9,9,14.89,18.072,8.23,0
1996,9,10,10.14,16.306,10.889,0
1996,9,11,6.91,13.529,7.632,4.92262840270996
1996,9,12,10.24,14.156,7.785,8.13490152359009
1996,9,13,9.73,15.616,7.725,0
1996,9,14,9.05,14.593,8.415,0
1996,9,15,12.33,15.185,7.877,0
1996,9,16,14.82,16.311,7.525,0
1996,9,17,11.06,14.115,7.709,0
1996,9,18,8.85,13.626,9.625,0
1996,9,19,13.24,13.615,7.959,0
1996,9,20,9.24,14.002,8.994,0
1996,9,21,7.86,13.606,9.272,0
1996,9,22,10.92,12.877,8.624,0
1996,9,23,8.46,13.99,8.005,0
1996,9,24,6.48,14.084,9.433,0
1996,9,25,6.86,13.878,8.258,0
1996,9,26,9.43,14.975,8.558,0
1996,9,27,2.75,13.482,11.05,9.02015118401778
1996,9,28,8,14.423,10.587,2.22726053294764
1996,9,29,1.2,15.553,11.852,27.5557518004348
1996,9,30,9.63,15.457,11.737,2.97973488824255
1996,10,1,5.78,12.985,8.953,6.08733594413025
1996,10,2,8.81,13.323,6.796,0
1996,10,3,6.63,14.212,8.492,0
1996,10,4,9.21,13.327,9.441,4.28917407989005
1996,10,5,8.02,12.322,7.077,2.98121571540833
1996,10,6,8.73,13.524,5.408,0
1996,10,7,7.17,13.244,9.181,0
1996,10,8,1.38,12.197,8.849,0
1996,10,9,2.95,12.998,10.408,1.50120230784978
1996,10,10,7.43,12.655,5.813,0
1996,10,11,5.7,12.081,3.74,0
1996,10,12,5.38,13.768,10.627,0
1996,10,13,6.2,15.139,9.908,0
1996,10,14,9.15,17.532,8.263,0
1996,10,15,7.4,15.103,9.491,0
1996,10,16,1.45,12.844,10.485,12.189051805592
1996,10,17,7.37,13.493,6.59,0
1996,10,18,8.16,13.24,6.108,0
1996,10,19,3.37,12.656,8.044,1.81761384010315
1996,10,20,5.93,12.835,6.187,0
1996,10,21,1.23,12.469,8.226,7.49520632416534
1996,10,22,6.34,12.876,7.093,0
1996,10,23,6.11,11.132,3.646,0
1996,10,24,6.97,11.319,5.379,0
1996,10,25,6.08,9.943,5.51,0
1996,10,26,4.53,12.78,7.073,0
1996,10,27,2.81,12.051,7.345,10.2129533503899
1996,10,28,2.5,13.816,11.537,2.13889181613425
1996,10,29,1.81,11.816,8.125,13.0048880951676
1996,10,30,3.19,10.093,8.227,1.33834179439418
1996,10,31,1.99,10.51,7.681,4.51792776584625
1996,11,1,3.49,11.914,8.653,0
1996,11,2,1.14,13.92,10.801,7.01446235179759
1996,11,3,1.09,13.88,12.691,2.69222259521484
1996,11,4,0.79,13.328,11.46,7.23263621330261
1996,11,5,3.14,11.309,7.947,6.70634210109711
1996,11,6,2.64,12.226,8.271,10.9973967075234
1996,11,7,3.92,8.924,5.947,4.23244887377905
1996,11,8,3.31,7.912,5.001,2.69941985607147
1996,11,9,3.24,8.237,4.639,4.04466252816604
1996,11,10,3.73,5.923,-0.412,1.69284939755698
1996,11,11,2.43,8.577,5.121,8.96413624286652
1996,11,12,2.44,10.181,7.384,4.77482676501495
1996,11,13,3.48,6.979,0.698,1.55071020122932
1996,11,14,4.62,4.886,-2.077,0
1996,11,15,4.42,4.044,-2.404,0
1996,11,16,3.3,4.32,-3.019,0
1996,11,17,0.8,3.277,1.194,1.77526855873111
1996,11,18,0.87,4.499,2.602,0
1996,11,19,2.65,6.13,1.139,3.62806618204559
1996,11,20,1.6,5.329,1.304,1.7775391233954
1996,11,21,1.55,5.546,1.732,3.53361666202545
1996,11,22,1.81,5.827,3.585,4.89971637705366
1996,11,23,2.18,4.843,-0.367,4.95612627389619
1996,11,24,3.44,5.208,-0.762,0
1996,11,25,0.63,1.818,0.611,8.4441336965142
1996,11,26,2.01,2.247,0.597,4.76533472527763
1996,11,27,2.06,2.422,0.258,0
1996,11,28,2.51,1.216,-3.327,0
1996,11,29,1.11,3.407,-3.974,6.48678839206696
1996,11,30,0.96,3.246,-0.096,1.44616067399284
1996,12,1,1.76,5.282,-2.358,3.54913583981897
1996,12,2,2.46,6.543,4.838,0
1996,12,3,1.81,5.629,3.776,5.81229031075736
1996,12,4,2.35,7.018,4.098,2.07306444644928
1996,12,5,1.62,5.929,2.528,0
1996,12,6,1.93,6.625,3.043,0
1996,12,7,0.98,4.366,2.092,0
1996,12,8,1.99,1.81,-1.704,0
1996,12,9,1.25,-0.365,-2.037,0
1996,12,10,1.06,0.776,-0.829,0
1996,12,11,0.99,0.219,-0.955,0
1996,12,12,0.81,2.874,-0.81,0
1996,12,13,2.69,3.417,-4.606,0
1996,12,14,1.95,4.462,-4.125,4.63719959952869
1996,12,15,2.03,6.574,-4.216,4.10434901704093
1996,12,16,1.86,4.007,-4.944,0
1996,12,17,0.61,4.455,2.433,0
1996,12,18,0.9,3.451,2.077,2.54551292761107
1996,12,19,1.85,1.898,-0.824,0
1996,12,20,1.88,-0.903,-3.341,0
1996,12,21,2.62,-1.267,-4.814,0
1996,12,22,1.77,0.989,-1.691,0
1996,12,23,2.13,-0.744,-5.351,0
1996,12,24,1.44,-0.087,-7.548,0
1996,12,25,2.36,-1.737,-6.889,0
1996,12,26,2.62,-3.813,-9.437,0
1996,12,27,1.48,-3.186,-7.776,0
1996,12,28,2.72,-5.163,-9.645,0
1996,12,29,1.96,1.199,-3.422,0
1996,12,30,1.19,-1.139,-3.276,1.38279316598755
1996,12,31,1.73,-3.093,-5.356,2.04376158387731
1997,1,1,2.9,-5.487,-8.8,0
1997,1,2,1.21,-6.096,-9.75,0
1997,1,3,2.56,-2.227,-9.809,0
1997,1,4,2.81,-2.313,-7.609,0
1997,1,5,2.22,-4.438,-7.783,0
1997,1,6,1.42,-4.307,-7.032,0
1997,1,7,2.2,-0.757,-5.449,0
1997,1,8,1.38,-2.917,-5.504,0
1997,1,9,1.22,-1.871,-5.444,0
1997,1,10,1.35,-2.471,-4.898,0
1997,1,11,1.94,-2.11,-6.381,0
1997,1,12,0.89,2.495,-5.935,0
1997,1,13,0.9,3.713,2.508,0
1997,1,14,2.89,3.991,0.721,0
1997,1,15,3.34,2.699,-1.237,0
1997,1,16,2.67,0.911,-4.107,0
1997,1,17,3.54,2.233,-4.531,0
1997,1,18,1.37,4.323,-0.521,0
1997,1,19,1.12,2.79,0.295,0
1997,1,20,1.53,3.123,-0.569,0
1997,1,21,2.65,2.528,-0.995,0
1997,1,22,2.87,5.328,-1.718,0
1997,1,23,0.54,5.312,1.284,0
1997,1,24,1.47,1.395,-0.642,0
1997,1,25,1.17,2.909,-1.131,0
1997,1,26,4.51,1.83,-4.162,0
1997,1,27,4.7,1.388,-6.233,0
1997,1,28,2.86,5.13,0.243,0
1997,1,29,2.14,4.431,0.244,0
1997,1,30,3.11,4.528,2.475,0
1997,1,31,5.12,4.533,-3.102,0
1997,2,1,5.46,1.81,-5.144,0
1997,2,2,4.64,1.359,-3.977,0
1997,2,3,4.62,4.675,0.914,0
1997,2,4,0.63,5.167,1.031,11.4242732377079
1997,2,5,5.92,4.759,0.864,0
1997,2,6,2.57,5.497,1.341,0
1997,2,7,1.13,6.065,2.7,2.0525395870159
1997,2,8,6.2,5.151,1.678,0
1997,2,9,1.32,5.498,1.547,0
1997,2,10,1.79,6.921,4.403,4.98451911795428
1997,2,11,5.16,5.284,3.593,2.83093376856414
1997,2,12,2.14,6.535,3.176,9.20392256949754
1997,2,13,2.5,7.079,4.167,4.00543143769028
1997,2,14,3.3,4.535,-0.585,7.1340355684697
1997,2,15,4.9,2.452,-2.826,0
1997,2,16,6.52,0.932,-3.863,0
1997,2,17,4.88,4.456,-0.979,0
1997,2,18,1.82,7.691,3.372,16.5495574474335
1997,2,19,7.89,5.501,3.321,1.552331447499
1997,2,20,8.11,6.619,2.996,5.80444931983948
1997,2,21,4.42,7.423,4.924,2.75978446006775
1997,2,22,4.52,7.271,4.019,0
1997,2,23,4.74,9.539,6.645,0
1997,2,24,2.55,9.349,6.008,4.76643443107605
1997,2,25,8.1,8.767,5.514,7.49814510345459
1997,2,26,4.44,5.69,1.292,2.03365087509155
1997,2,27,7.73,6.07,1.089,0
1997,2,28,7.61,9.098,4.097,1.71709358681937
1997,3,1,9.37,8.576,3.338,0
1997,3,2,2.42,10.012,5.615,2.03536748875877
1997,3,3,10.43,7.119,2.805,0
1997,3,4,10.88,7.686,-1.417,0
1997,3,5,9.12,10.996,-0.608,0
1997,3,6,10.58,8.186,-1.309,1.11382007588645
1997,3,7,7.38,8.888,-1.792,0
1997,3,8,5.16,9.028,0.862,0
1997,3,9,12.16,9.343,-2.096,0
1997,3,10,12.01,12.489,-0.444,0
1997,3,11,5.57,6.427,2.156,0
1997,3,12,9.84,10.187,1.449,0
1997,3,13,5.77,8.613,3.906,0
1997,3,14,2.88,7.843,5.751,0
1997,3,15,4.2,7.795,1.991,2.31202153514687
1997,3,16,7.55,3.733,-0.404,1.94083543453871
1997,3,17,11.26,4.595,-2.782,0
1997,3,18,6.54,3.67,-2.598,7.38715977956872
1997,3,19,7.66,2.249,-1.785,3.96132022348183
1997,3,20,8.8,3.044,-4.659,1.53866410255432
1997,3,21,9.32,4.646,0.707,1.78412795065697
1997,3,22,11.46,5.181,-0.903,0
1997,3,23,4.49,3.063,-0.302,5.78450034925027
1997,3,24,10.81,5.771,-0.744,0
1997,3,25,11.98,6.922,0.378,0
1997,3,26,4.38,9.96,2.692,3.50060462938018
1997,3,27,15.18,9.111,5.375,3.91155330777337
1997,3,28,12.96,7.392,2.065,12.8083467482725
1997,3,29,13.68,6.686,3.518,0
1997,3,30,8.71,8.673,3.805,0
1997,3,31,16.96,9.302,4.449,0
1997,4,1,17.42,10.206,4.433,0
1997,4,2,16.96,11.576,3.841,0
1997,4,3,5.57,7.758,3.165,5.63215720382004
1997,4,4,16.75,6.258,2.941,0
1997,4,5,2.81,8.474,1.338,4.80224192142487
1997,4,6,16.65,5.979,-0.542,0
1997,4,7,11.78,5.99,-2.042,0
1997,4,8,5.25,6.432,2.463,0
1997,4,9,17.08,11.838,4.056,0
1997,4,10,13.41,9.078,4.293,0
1997,4,11,16.87,8.203,3.468,1.00690126419067
1997,4,12,19.65,9.326,1.829,0
1997,4,13,3.94,7.045,-1.63,1.38549506664276
1997,4,14,12.96,7.694,3.951,0
1997,4,15,20.86,8.194,0.914,0
1997,4,16,19.08,9.901,-1.095,0
1997,4,17,21.29,10.631,-1.926,0
1997,4,18,19.02,10.39,2.414,0
1997,4,19,16.33,6.667,-0.545,2.55600214001106
1997,4,20,18.8,7.247,-1.343,0
1997,4,21,9.6,6.173,-0.364,2.03529000272695
1997,4,22,19.96,6.471,2.034,0
1997,4,23,14.64,8.087,1.763,0
1997,4,24,6.5,9.195,5.975,9.35252010822296
1997,4,25,14.82,10.03,1.814,0
1997,4,26,23.72,12.091,-0.838,0
1997,4,27,14.04,14.322,5.127,0
1997,4,28,10.03,12.576,6.761,7.62868225564262
1997,4,29,10.14,12.49,7.618,1.93964242924949
1997,4,30,18.96,14.142,6.566,0
1997,5,1,14.3,12.341,6.299,0
1997,5,2,20.96,14.12,7.727,0
1997,5,3,20.09,11.032,4.385,0
1997,5,4,9.93,15.04,3.921,6.79761171340942
1997,5,5,12.73,13.641,10.023,1.85655355443259
1997,5,6,8,10.209,4.603,4.58613033072197
1997,5,7,22.55,8.282,3.461,1.03515386581421
1997,5,8,11.05,9.871,3.667,4.25802905147066
1997,5,9,16.42,11.581,3.953,1.56387686729431
1997,5,10,19.83,11.794,6.873,1.82844698429108
1997,5,11,15.08,16.697,9.407,8.9736759661605
1997,5,12,22.21,14.732,9.366,3.59675399550952
1997,5,13,24.2,16.844,8.494,0
1997,5,14,6.49,15.308,10.368,8.37340950965881
1997,5,15,21.95,17.275,9.186,0
1997,5,16,25.64,18.473,8.983,0
1997,5,17,23.42,21.018,12.021,0
1997,5,18,23.99,22.006,11.482,3.20253223151212
1997,5,19,9.41,15.025,10.484,7.6890826225231
1997,5,20,10.58,17.157,9.163,3.51733863353587
1997,5,21,5.71,9.676,7.722,2.6171147823284
1997,5,22,7.79,9.944,6.289,2.41746306409141
1997,5,23,13.54,10.548,4.567,7.67605341906119
1997,5,24,26.08,13.83,3.861,0
1997,5,25,23.91,12.11,4.86,0
1997,5,26,7.8,10.32,5.314,4.97302412986755
1997,5,27,19.2,12.163,8.534,1.12165510654449
1997,5,28,21.72,14.78,6.491,0
1997,5,29,13.37,12.204,7.37,0
1997,5,30,24.54,16.463,6.818,0
1997,5,31,22.59,15.703,6.181,0
1997,6,1,27.86,17.979,5.102,0
1997,6,2,26.94,19.912,8.233,0
1997,6,3,24.95,19.096,7.394,0
1997,6,4,25.3,14.908,8.151,0
1997,6,5,23.91,21.735,4.302,0
1997,6,6,27.83,23.909,13.482,0
1997,6,7,27.52,25.289,15.558,0
1997,6,8,20.49,24.954,15.567,1.43862844890918
1997,6,9,21.47,18.634,12.313,1.48668289184428
1997,6,10,28.33,19.439,11.065,0
1997,6,11,28.41,23.256,10.324,0
1997,6,12,15.68,22.536,14.571,1.24370455739609
1997,6,13,17.81,20.583,13.695,2.73715820986808
1997,6,14,16.17,17.76,13.36,3.79230976102463
1997,6,15,16.22,15.092,11.244,2.23556160926819
1997,6,16,19.29,14.057,10.11,0
1997,6,17,24.22,15.18,9.777,0
1997,6,18,18.1,14.486,8.993,0
1997,6,19,23.65,18.34,7.344,0
1997,6,20,19.07,19.734,11.615,6.18879492026281
1997,6,21,9.35,17.257,11.686,15.2102467892519
1997,6,22,18.14,16.402,10.468,4.94422602253053
1997,6,23,18.58,16.002,11.634,4.65331375596634
1997,6,24,18.46,14.419,11.268,0
1997,6,25,16.56,14.441,10.744,0
1997,6,26,10.97,15.103,10.649,6.01273179054118
1997,6,27,18.83,20.961,13.019,15.8053040504456
1997,6,28,24.1,20.331,13.396,2.53273540499777
1997,6,29,21.7,22.9,11.052,1.27621399013833
1997,6,30,14.5,21.235,14.904,0
1997,7,1,21.23,17.522,13.219,0
1997,7,2,23.17,20.168,13.016,0
1997,7,3,20.37,19.327,14.106,2.03365181437221
1997,7,4,19.1,19.26,12.985,6.26888824427851
1997,7,5,22.37,18.487,11.702,0
1997,7,6,15.99,17.034,12.33,0
1997,7,7,22.12,20.214,14.002,0
1997,7,8,26.64,18.851,13.212,0
1997,7,9,23.89,22.347,11.932,0
1997,7,10,26.03,23.874,10.681,0
1997,7,11,22.97,23.261,12.136,0
1997,7,12,23.64,23.897,12.786,0
1997,7,13,22.21,24.19,13.684,0
1997,7,14,11.6,20.506,15.948,4.62489724153059
1997,7,15,15.64,21.084,15.31,11.8141323326881
1997,7,16,18.69,21.124,13.391,0
1997,7,17,4.37,17.551,14.64,24.6122717857311
1997,7,18,14.17,19.919,14.766,9.95175838460227
1997,7,19,20.23,19.62,14.11,2.48290896411163
1997,7,20,16.19,22.189,14.985,0
1997,7,21,9.23,22.43,16.975,1.83241367329856
1997,7,22,23.09,24.89,15.984,0
1997,7,23,20.6,24.099,15.676,4.70311939716339
1997,7,24,20.57,21.145,15.436,2.61452794075012
1997,7,25,12.52,20.669,15.166,9.48825155683153
1997,7,26,15.38,19.128,14.126,3.7421405310738
1997,7,27,14.76,19.218,13.995,9.06458497047424
1997,7,28,18.98,18.678,14.594,1.38446688652039
1997,7,29,21.47,19.187,13.356,1.0350465773854
1997,7,30,18.22,22.667,12.637,5.00108899251472
1997,7,31,13.78,16.98,13.895,8.38354229927063
1997,8,1,18.26,19.995,12.715,1.62253081788322
1997,8,2,8.9,19.229,11.424,1.0741651058197
1997,8,3,12.7,20.344,15.134,0
1997,8,4,23.67,20.248,13.57,0
1997,8,5,21.31,23.284,12.911,0
1997,8,6,18.45,23.165,15.632,0
1997,8,7,20.77,24.168,15.599,0
1997,8,8,19.03,24.715,16.994,0
1997,8,9,20.65,26.25,16.734,0
1997,8,10,19.79,27.34,16.715,0
1997,8,11,20.93,27.926,18.123,0
1997,8,12,22.58,28.451,18.556,0
1997,8,13,19.22,28.813,17.135,0
1997,8,14,19.38,26.356,16.465,0
1997,8,15,20.51,24.39,17.858,0
1997,8,16,14.89,23.88,16.282,0
1997,8,17,17.26,26.103,15.496,0
1997,8,18,17.72,27.29,17.678,0
1997,8,19,14.85,25.927,15.75,0
1997,8,20,17.99,27.05,18.453,0
